------------Emission------------

------------P(Et | Xt)------------
P( w | c ) =  0.000220361392684
P( x | c ) =  0.000220361392684
P( y | c ) =  0.00506831203173
P( z | c ) =  0.000220361392684
P( _ | c ) =  0.034156015866
P( a | d ) =  0.0219012115564
P( b | d ) =  0.000232991612302
P( c | d ) =  0.000698974836906
P( d | d ) =  0.00442684063374
P( e | d ) =  0.175675675676
P( f | d ) =  0.000465983224604
P( g | d ) =  0.00186393289842
P( h | d ) =  0.000465983224604
P( i | d ) =  0.0990214352283
P( j | d ) =  0.00186393289842
P( k | d ) =  0.000232991612302
P( l | d ) =  0.00465983224604
P( m | d ) =  0.000698974836906
P( n | d ) =  0.00279589934762
P( o | d ) =  0.0752562907735
P( p | d ) =  0.000465983224604
P( q | d ) =  0.000232991612302
P( r | d ) =  0.0195712954334
P( s | d ) =  0.0340167753961
P( t | d ) =  0.000232991612302
P( u | d ) =  0.0568499534017
P( v | d ) =  0.0139794967381
P( w | d ) =  0.00139794967381
P( x | d ) =  0.000232991612302
P( y | d ) =  0.00931966449208
P( z | d ) =  0.000232991612302
P( _ | d ) =  0.473205964585
P( a | e ) =  0.0355665839537
P( b | e ) =  0.00106345267636
P( c | e ) =  0.0451967387451
P( d | e ) =  0.0574855252275
P( e | e ) =  0.0268817204301
P( f | e ) =  0.0178423726811
P( g | e ) =  0.00561266690299
P( h | e ) =  0.00389932647997
P( i | e ) =  0.0143566111308
P( j | e ) =  5.9080704242e-05
P( k | e ) =  0.000708968450904
P( l | e ) =  0.0292449485998
P( m | e ) =  0.0368072787428
P( n | e ) =  0.0876166843909
P( o | e ) =  0.0147701760605
P( p | e ) =  0.00915750915751
P( q | e ) =  0.00389932647997
P( r | e ) =  0.104631927213
P( s | e ) =  0.0873212808697
P( t | e ) =  0.0324353066289
P( u | e ) =  0.00059080704242
P( v | e ) =  0.0241049273307
P( w | e ) =  0.00437197211391
P( x | e ) =  0.0141793690181
P( y | e ) =  0.0126432707078
P( z | e ) =  5.9080704242e-05
P( _ | e ) =  0.329493087558
P( a | f ) =  0.0431172149473
P( b | f ) =  0.000319386777387
P( c | f ) =  0.00191632066432
P( d | f ) =  0.000319386777387
P( e | f ) =  0.0638773554775
P( f | f ) =  0.0622804215905
P( g | f ) =  0.000638773554775
P( h | f ) =  0.000319386777387
P( i | f ) =  0.0855956563398
P( j | f ) =  0.000319386777387
P( k | f ) =  0.000319386777387
P( l | f ) =  0.0127754710955
P( m | f ) =  0.000319386777387
P( n | f ) =  0.000319386777387
P( o | f ) =  0.179175982114
P( p | f ) =  0.000319386777387
P( q | f ) =  0.000319386777387
P( r | f ) =  0.0715426381348
P( s | f ) =  0.00159693388694
P( t | f ) =  0.049504950495
P( u | f ) =  0.0383264132865
P( v | f ) =  0.000319386777387
P( w | f ) =  0.000319386777387
P( x | f ) =  0.000319386777387
P( y | f ) =  0.0143724049824
P( z | f ) =  0.000319386777387
P( _ | f ) =  0.371127435324
P( a | g ) =  0.0780279503106
P( b | g ) =  0.000388198757764
P( c | g ) =  0.000388198757764
P( d | g ) =  0.000388198757764
P( e | g ) =  0.14751552795
P( f | g ) =  0.000388198757764
P( g | g ) =  0.0112577639752
P( h | g ) =  0.0799689440994
P( i | g ) =  0.0982142857143
P( j | g ) =  0.000388198757764
P( k | g ) =  0.000388198757764
P( l | g ) =  0.0128105590062
P( m | g ) =  0.00310559006211
P( n | g ) =  0.0155279503106
P( o | g ) =  0.0749223602484
P( p | g ) =  0.000388198757764
P( q | g ) =  0.000388198757764
P( r | g ) =  0.0881211180124
P( s | g ) =  0.0248447204969
P( t | g ) =  0.00155279503106
P( u | g ) =  0.026397515528
P( v | g ) =  0.000388198757764
P( w | g ) =  0.000388198757764
P( x | g ) =  0.000388198757764
P( y | g ) =  0.0621118012422
P( z | g ) =  0.000388198757764
P( _ | g ) =  0.270962732919
P( a | h ) =  0.19926902908
P( b | h ) =  0.00143016049579
P( c | h ) =  0.000158906721754
P( d | h ) =  0.000158906721754
P( e | h ) =  0.421738439536
P( f | h ) =  0.000158906721754
P( g | h ) =  0.000158906721754
P( h | h ) =  0.000317813443509
P( i | h ) =  0.0935960591133
P( j | h ) =  0.000158906721754
P( k | h ) =  0.000158906721754
P( l | h ) =  0.00270141426982
P( m | h ) =  0.000635626887017
P( n | h ) =  0.0398855871603
P( o | h ) =  0.07246146512
P( p | h ) =  0.000158906721754
P( q | h ) =  0.000158906721754
P( r | h ) =  0.0158906721754
P( s | h ) =  0.00317813443509
P( t | h ) =  0.0122358175751
P( u | h ) =  0.0336882250119
P( v | h ) =  0.000158906721754
P( w | h ) =  0.000476720165263
P( x | h ) =  0.000158906721754
P( y | h ) =  0.00842205625298
P( z | h ) =  0.000158906721754
P( _ | h ) =  0.0923248053393
P( a | i ) =  0.0348200312989
P( b | i ) =  0.00762910798122
P( c | i ) =  0.0776604068858
P( d | i ) =  0.0303208137715
P( e | i ) =  0.0656298904538
P( f | i ) =  0.0269953051643
P( g | i ) =  0.0156494522692
P( h | i ) =  0.000293427230047
P( i | i ) =  9.78090766823e-05
P( j | i ) =  9.78090766823e-05
P( k | i ) =  0.00469483568075
P( l | i ) =  0.0476330203443
P( m | i ) =  0.0316901408451
P( n | i ) =  0.222906885759
P( o | i ) =  0.0830399061033
P( p | i ) =  0.00508607198748
P( q | i ) =  0.00303208137715
P( r | i ) =  0.0333528951487
P( s | i ) =  0.130966353678
P( t | i ) =  0.120500782473
P( u | i ) =  0.000195618153365
P( v | i ) =  0.0448943661972
P( w | i ) =  9.78090766823e-05
P( x | i ) =  0.000293427230047
P( y | i ) =  9.78090766823e-05
P( z | i ) =  0.0107589984351
P( _ | i ) =  0.00156494522692
P( a | j ) =  0.047619047619
P( b | j ) =  0.00793650793651
P( c | j ) =  0.00793650793651
P( d | j ) =  0.00793650793651
P( e | j ) =  0.134920634921
P( f | j ) =  0.00793650793651
P( g | j ) =  0.00793650793651
P( h | j ) =  0.00793650793651
P( i | j ) =  0.00793650793651
P( j | j ) =  0.00793650793651
P( k | j ) =  0.00793650793651
P( l | j ) =  0.00793650793651
P( m | j ) =  0.00793650793651
P( n | j ) =  0.00793650793651
P( o | j ) =  0.301587301587
P( p | j ) =  0.00793650793651
P( q | j ) =  0.00793650793651
P( r | j ) =  0.00793650793651
P( s | j ) =  0.00793650793651
P( t | j ) =  0.00793650793651
P( u | j ) =  0.333333333333
P( v | j ) =  0.00793650793651
P( w | j ) =  0.00793650793651
P( x | j ) =  0.00793650793651
P( y | j ) =  0.00793650793651
P( z | j ) =  0.00793650793651
P( _ | j ) =  0.00793650793651
P( a | k ) =  0.00511945392491
P( b | k ) =  0.00170648464164
P( c | k ) =  0.00170648464164
P( d | k ) =  0.0307167235495
P( e | k ) =  0.360068259386
P( f | k ) =  0.00170648464164
P( g | k ) =  0.00170648464164
P( h | k ) =  0.00170648464164
P( i | k ) =  0.184300341297
P( j | k ) =  0.00170648464164
P( k | k ) =  0.00170648464164
P( l | k ) =  0.0102389078498
P( m | k ) =  0.00170648464164
P( n | k ) =  0.0494880546075
P( o | k ) =  0.00682593856655
P( p | k ) =  0.00170648464164
P( q | k ) =  0.00170648464164
P( r | k ) =  0.00170648464164
P( s | k ) =  0.0494880546075
P( t | k ) =  0.00170648464164
P( u | k ) =  0.00341296928328
P( v | k ) =  0.00170648464164
P( w | k ) =  0.00170648464164
P( x | k ) =  0.00170648464164
P( y | k ) =  0.00341296928328
P( z | k ) =  0.00170648464164
P( _ | k ) =  0.269624573379
P( a | l ) =  0.0542480387248
P( b | l ) =  0.00016691704223
P( c | l ) =  0.00100150225338
P( d | l ) =  0.0564179602737
P( e | l ) =  0.17142380237
P( f | l ) =  0.0126856952095
P( g | l ) =  0.00016691704223
P( h | l ) =  0.00016691704223
P( i | l ) =  0.0894675346353
P( j | l ) =  0.00016691704223
P( k | l ) =  0.00216992154899
P( l | l ) =  0.112335169421
P( m | l ) =  0.00534134535136
P( n | l ) =  0.00033383408446
P( o | l ) =  0.0872976130863
P( p | l ) =  0.00216992154899
P( q | l ) =  0.00016691704223
P( r | l ) =  0.0033383408446
P( s | l ) =  0.0258721415457
P( t | l ) =  0.0173593723919
P( u | l ) =  0.0267067267568
P( v | l ) =  0.012351861125
P( w | l ) =  0.00200300450676
P( x | l ) =  0.00016691704223
P( y | l ) =  0.0981472208312
P( z | l ) =  0.00016691704223
P( _ | l ) =  0.218160574195
P( a | m ) =  0.212044817927
P( b | m ) =  0.0106442577031
P( c | m ) =  0.000280112044818
P( d | m ) =  0.000280112044818
P( e | m ) =  0.189915966387
P( f | m ) =  0.000560224089636
P( g | m ) =  0.000280112044818
P( h | m ) =  0.000280112044818
P( i | m ) =  0.0731092436975
P( j | m ) =  0.000280112044818
P( k | m ) =  0.000560224089636
P( l | m ) =  0.000840336134454
P( m | m ) =  0.018487394958
P( n | m ) =  0.00140056022409
P( o | m ) =  0.139775910364
P( p | m ) =  0.0806722689076
P( q | m ) =  0.000280112044818
P( r | m ) =  0.000280112044818
P( s | m ) =  0.0403361344538
P( t | m ) =  0.000280112044818
P( u | m ) =  0.0327731092437
P( v | m ) =  0.000560224089636
P( w | m ) =  0.000280112044818
P( x | m ) =  0.000280112044818
P( y | m ) =  0.0109243697479
P( z | m ) =  0.000280112044818
P( _ | m ) =  0.18431372549
P( a | n ) =  0.0346367498094
P( b | n ) =  0.000108920596885
P( c | n ) =  0.0424790327851
P( d | n ) =  0.124060559852
P( e | n ) =  0.0905130160113
P( f | n ) =  0.00697091820063
P( g | n ) =  0.0997712667465
P( h | n ) =  0.00130704716262
P( i | n ) =  0.0375776059253
P( j | n ) =  0.00021784119377
P( k | n ) =  0.00381222089097
P( l | n ) =  0.014159677595
P( m | n ) =  0.00773336237883
P( n | n ) =  0.00653523581309
P( o | n ) =  0.0774425443851
P( p | n ) =  0.000544602984424
P( q | n ) =  0.000435682387539
P( r | n ) =  0.000326761790655
P( s | n ) =  0.050103474567
P( t | n ) =  0.116327197473
P( u | n ) =  0.00468358566605
P( v | n ) =  0.00806012416948
P( w | n ) =  0.000762444178194
P( x | n ) =  0.000653523581309
P( y | n ) =  0.0196057074393
P( z | n ) =  0.000108920596885
P( _ | n ) =  0.25106197582
P( a | o ) =  0.00792449470216
P( b | o ) =  0.0137120470127
P( c | o ) =  0.0395334342445
P( d | o ) =  0.0202119134538
P( e | o ) =  0.00525331671267
P( f | o ) =  0.0917994835723
P( g | o ) =  0.0335678034013
P( h | o ) =  0.000979431929481
P( i | o ) =  0.00845873030006
P( j | o ) =  8.90392663164e-05
P( k | o ) =  0.00204790312528
P( l | o ) =  0.0611699759594
P( m | o ) =  0.0544920309857
P( n | o ) =  0.160448757902
P( o | o ) =  0.0121983794854
P( p | o ) =  0.0338349212002
P( q | o ) =  8.90392663164e-05
P( r | o ) =  0.130976760751
P( s | o ) =  0.0300062327486
P( t | o ) =  0.0413142195708
P( u | o ) =  0.0729231591132
P( v | o ) =  0.0168284213338
P( w | o ) =  0.038554002315
P( x | o ) =  0.000445196331582
P( y | o ) =  0.00329445285371
P( z | o ) =  0.000267117798949
P( _ | o ) =  0.119579734663
P( a | p ) =  0.0742671009772
P( b | p ) =  0.000325732899023
P( c | p ) =  0.000325732899023
P( d | p ) =  0.000325732899023
P( e | p ) =  0.175895765472
P( f | p ) =  0.000651465798046
P( g | p ) =  0.000325732899023
P( h | p ) =  0.0351791530945
P( i | p ) =  0.0224755700326
P( j | p ) =  0.000325732899023
P( k | p ) =  0.000325732899023
P( l | p ) =  0.131270358306
P( m | p ) =  0.00618892508143
P( n | p ) =  0.000325732899023
P( o | p ) =  0.169055374593
P( p | p ) =  0.0488599348534
P( q | p ) =  0.000325732899023
P( r | p ) =  0.184690553746
P( s | p ) =  0.0293159609121
P( t | p ) =  0.0302931596091
P( u | p ) =  0.0514657980456
P( v | p ) =  0.000325732899023
P( w | p ) =  0.000325732899023
P( x | p ) =  0.000325732899023
P( y | p ) =  0.00456026058632
P( z | p ) =  0.000325732899023
P( _ | p ) =  0.0319218241042
P( a | q ) =  0.00588235294118
P( b | q ) =  0.00588235294118
P( c | q ) =  0.00588235294118
P( d | q ) =  0.00588235294118
P( e | q ) =  0.00588235294118
P( f | q ) =  0.00588235294118
P( g | q ) =  0.00588235294118
P( h | q ) =  0.00588235294118
P( i | q ) =  0.00588235294118
P( j | q ) =  0.00588235294118
P( k | q ) =  0.00588235294118
P( l | q ) =  0.00588235294118
P( m | q ) =  0.00588235294118
P( n | q ) =  0.00588235294118
P( o | q ) =  0.00588235294118
P( p | q ) =  0.00588235294118
P( q | q ) =  0.00588235294118
P( r | q ) =  0.00588235294118
P( s | q ) =  0.00588235294118
P( t | q ) =  0.00588235294118
P( u | q ) =  0.835294117647
P( v | q ) =  0.00588235294118
P( w | q ) =  0.00588235294118
P( x | q ) =  0.00588235294118
P( y | q ) =  0.00588235294118
P( z | q ) =  0.00588235294118
P( _ | q ) =  0.0176470588235
P( a | r ) =  0.0785097331443
P( b | r ) =  0.00167590563362
P( c | r ) =  0.0100554338017
P( d | r ) =  0.0148253190666
P( e | r ) =  0.250870181771
P( f | r ) =  0.00386747453913
P( g | r ) =  0.0193373726956
P( h | r ) =  0.000773494907825
P( i | r ) =  0.0888229985819
P( j | r ) =  0.000128915817971
P( k | r ) =  0.0114735077994
P( l | r ) =  0.0101843496197
P( m | r ) =  0.0188217094237
P( n | r ) =  0.0194662885136
P( o | r ) =  0.108547118731
P( p | r ) =  0.00451205362898
P( q | r ) =  0.000128915817971
P( r | r ) =  0.0139229083409
P( s | r ) =  0.0346783550342
P( t | r ) =  0.0448627046539
P( u | r ) =  0.0186927936058
P( v | r ) =  0.00889519143999
P( w | r ) =  0.00206265308753
P( x | r ) =  0.000128915817971
P( y | r ) =  0.0250096686863
P( z | r ) =  0.000128915817971
P( _ | r ) =  0.209617120021
P( a | s ) =  0.0212111221013
P( b | s ) =  0.000329706561161
P( c | s ) =  0.0159358171228
P( d | s ) =  0.000109902187054
P( e | s ) =  0.111660622046
P( f | s ) =  0.00791295746785
P( g | s ) =  0.000219804374107
P( h | s ) =  0.0152764040004
P( i | s ) =  0.0573689416419
P( j | s ) =  0.000109902187054
P( k | s ) =  0.00318716342455
P( l | s ) =  0.00351686998571
P( m | s ) =  0.0145070886911
P( n | s ) =  0.00241784811518
P( o | s ) =  0.0766018243763
P( p | s ) =  0.0128585558853
P( q | s ) =  0.000109902187054
P( r | s ) =  0.00252775030223
P( s | s ) =  0.0578085503902
P( t | s ) =  0.132322233212
P( u | s ) =  0.0444004835696
P( v | s ) =  0.000109902187054
P( w | s ) =  0.000659413122321
P( x | s ) =  0.000109902187054
P( y | s ) =  0.0304429058138
P( z | s ) =  0.000109902187054
P( _ | s ) =  0.388174524673
P( a | t ) =  0.035262345679
P( b | t ) =  0.000154320987654
P( c | t ) =  0.00246913580247
P( d | t ) =  0.000154320987654
P( e | t ) =  0.102777777778
P( f | t ) =  0.00054012345679
P( g | t ) =  0.000154320987654
P( h | t ) =  0.282330246914
P( i | t ) =  0.123765432099
P( j | t ) =  7.71604938272e-05
P( k | t ) =  7.71604938272e-05
P( l | t ) =  0.00717592592593
P( m | t ) =  0.000771604938272
P( n | t ) =  0.000617283950617
P( o | t ) =  0.0912808641975
P( p | t ) =  0.000154320987654
P( q | t ) =  7.71604938272e-05
P( r | t ) =  0.0382716049383
P( s | t ) =  0.0296296296296
P( t | t ) =  0.0121141975309
P( u | t ) =  0.0170524691358
P( v | t ) =  0.000154320987654
P( w | t ) =  0.00300925925926
P( x | t ) =  7.71604938272e-05
P( y | t ) =  0.0313271604938
P( z | t ) =  7.71604938272e-05
P( _ | t ) =  0.220447530864
P( a | u ) =  0.0409090909091
P( b | u ) =  0.0149732620321
P( c | u ) =  0.0532085561497
P( d | u ) =  0.0149732620321
P( e | u ) =  0.0419786096257
P( f | u ) =  0.0104278074866
P( g | u ) =  0.0430481283422
P( h | u ) =  0.000267379679144
P( i | u ) =  0.031550802139
P( j | u ) =  0.000267379679144
P( k | u ) =  0.000267379679144
P( l | u ) =  0.117914438503
P( m | u ) =  0.0545454545455
P( n | u ) =  0.0762032085561
P( o | u ) =  0.00133689839572
P( p | u ) =  0.0366310160428
P( q | u ) =  0.000267379679144
P( r | u ) =  0.125935828877
P( s | u ) =  0.170320855615
P( t | u ) =  0.151871657754
P( u | u ) =  0.000267379679144
P( v | u ) =  0.000267379679144
P( w | u ) =  0.000267379679144
P( x | u ) =  0.00106951871658
P( y | u ) =  0.000802139037433
P( z | u ) =  0.000267379679144
P( _ | u ) =  0.0101604278075
P( a | v ) =  0.0786146234195
P( b | v ) =  0.000549752611325
P( c | v ) =  0.000549752611325
P( d | v ) =  0.000549752611325
P( e | v ) =  0.601429356789
P( f | v ) =  0.000549752611325
P( g | v ) =  0.000549752611325
P( h | v ) =  0.000549752611325
P( i | v ) =  0.221000549753
P( j | v ) =  0.000549752611325
P( k | v ) =  0.000549752611325
P( l | v ) =  0.000549752611325
P( m | v ) =  0.000549752611325
P( n | v ) =  0.000549752611325
P( o | v ) =  0.0819131390874
P( p | v ) =  0.000549752611325
P( q | v ) =  0.000549752611325
P( r | v ) =  0.000549752611325
P( s | v ) =  0.00274876305662
P( t | v ) =  0.000549752611325
P( u | v ) =  0.00109950522265
P( v | v ) =  0.000549752611325
P( w | v ) =  0.000549752611325
P( x | v ) =  0.000549752611325
P( y | v ) =  0.00164925783397
P( z | v ) =  0.000549752611325
P( _ | v ) =  0.00109950522265
P( a | w ) =  0.0958709065021
P( b | w ) =  0.00047460844803
P( c | w ) =  0.00047460844803
P( d | w ) =  0.00522069292833
P( e | w ) =  0.227812055055
P( f | w ) =  0.00047460844803
P( g | w ) =  0.00047460844803
P( h | w ) =  0.168960607499
P( i | w ) =  0.223540579022
P( j | w ) =  0.00047460844803
P( k | w ) =  0.00047460844803
P( l | w ) =  0.00189843379212
P( m | w ) =  0.00047460844803
P( n | w ) =  0.0446131941149
P( o | w ) =  0.138111058377
P( p | w ) =  0.00047460844803
P( q | w ) =  0.00047460844803
P( r | w ) =  0.00522069292833
P( s | w ) =  0.00711912672046
P( t | w ) =  0.00379686758424
P( u | w ) =  0.00047460844803
P( v | w ) =  0.00047460844803
P( w | w ) =  0.00047460844803
P( x | w ) =  0.00047460844803
P( y | w ) =  0.00047460844803
P( z | w ) =  0.00047460844803
P( _ | w ) =  0.0707166587565
P( a | x ) =  0.18118466899
P( b | x ) =  0.00348432055749
P( c | x ) =  0.0662020905923
P( d | x ) =  0.00348432055749
P( e | x ) =  0.0905923344948
P( f | x ) =  0.00348432055749
P( g | x ) =  0.00348432055749
P( h | x ) =  0.0104529616725
P( i | x ) =  0.11149825784
P( j | x ) =  0.00348432055749
P( k | x ) =  0.00348432055749
P( l | x ) =  0.00348432055749
P( m | x ) =  0.00348432055749
P( n | x ) =  0.00348432055749
P( o | x ) =  0.00348432055749
P( p | x ) =  0.16724738676
P( q | x ) =  0.00348432055749
P( r | x ) =  0.00348432055749
P( s | x ) =  0.00348432055749
P( t | x ) =  0.184668989547
P( u | x ) =  0.0278745644599
P( v | x ) =  0.00348432055749
P( w | x ) =  0.00348432055749
P( x | x ) =  0.00348432055749
P( y | x ) =  0.00348432055749
P( z | x ) =  0.00348432055749
P( _ | x ) =  0.0975609756098
P( a | y ) =  0.00393137955683
P( b | y ) =  0.00464617583989
P( c | y ) =  0.0207290922087
P( d | y ) =  0.00035739814153
P( e | y ) =  0.0178699070765
P( f | y ) =  0.00035739814153
P( g | y ) =  0.000714796283059
P( h | y ) =  0.00035739814153
P( i | y ) =  0.00857755539671
P( j | y ) =  0.00035739814153
P( k | y ) =  0.00035739814153
P( l | y ) =  0.0035739814153
P( m | y ) =  0.00536097212294
P( n | y ) =  0.00107219442459
P( o | y ) =  0.0289492494639
P( p | y ) =  0.0125089349535
P( q | y ) =  0.00035739814153
P( r | y ) =  0.00035739814153
P( s | y ) =  0.0975696926376
P( t | y ) =  0.00464617583989
P( u | y ) =  0.00035739814153
P( v | y ) =  0.00035739814153
P( w | y ) =  0.00142959256612
P( x | y ) =  0.00035739814153
P( y | y ) =  0.00035739814153
P( z | y ) =  0.00035739814153
P( _ | y ) =  0.784131522516
P( a | z ) =  0.375
P( b | z ) =  0.00694444444444
P( c | z ) =  0.00694444444444
P( d | z ) =  0.00694444444444
P( e | z ) =  0.388888888889
P( f | z ) =  0.00694444444444
P( g | z ) =  0.00694444444444
P( h | z ) =  0.00694444444444
P( i | z ) =  0.0555555555556
P( j | z ) =  0.00694444444444
P( k | z ) =  0.00694444444444
P( l | z ) =  0.00694444444444
P( m | z ) =  0.00694444444444
P( n | z ) =  0.00694444444444
P( o | z ) =  0.0138888888889
P( p | z ) =  0.00694444444444
P( q | z ) =  0.00694444444444
P( r | z ) =  0.00694444444444
P( s | z ) =  0.00694444444444
P( t | z ) =  0.00694444444444
P( u | z ) =  0.00694444444444
P( v | z ) =  0.00694444444444
P( w | z ) =  0.00694444444444
P( x | z ) =  0.00694444444444
P( y | z ) =  0.0138888888889
P( z | z ) =  0.00694444444444
P( _ | z ) =  0.00694444444444
P( a | _ ) =  0.105181918412
P( b | _ ) =  0.0495038588754
P( c | _ ) =  0.0415288496876
P( d | _ ) =  0.0289966923925
P( e | _ ) =  0.0308710033076
P( f | _ ) =  0.0359426681367
P( g | _ ) =  0.0168687982359
P( h | _ ) =  0.0354649026093
P( i | _ ) =  0.0806321205439
P( j | _ ) =  0.00202131569276
P( k | _ ) =  0.00279309077545
P( l | _ ) =  0.0222344726204
P( m | _ ) =  0.0403528114664
P( n | _ ) =  0.0263873575891
P( o | _ ) =  0.078243292907
P( p | _ ) =  0.0536567438442
P( q | _ ) =  0.00121278941566
P( r | _ ) =  0.0262036016171
P( s | _ ) =  0.0753031973539
P( t | _ ) =  0.174788680632
P( u | _ ) =  0.010216832047
P( v | _ ) =  0.00481440646821
P( w | _ ) =  0.0538037486218
P( x | _ ) =  0.000147004777655
P( y | _ ) =  0.00275633958104
P( z | _ ) =  3.67511944138e-05
P( _ | _ ) =  3.67511944138e-05
------------End------------



------------Marginal------------

------------P(Xt)------------

P( a ) =  0.0613700025465
P( b ) =  0.0120988528449
P( c ) =  0.028023626302
P( d ) =  0.0264957424211
P( e ) =  0.104964380431
P( f ) =  0.0192848758129
P( g ) =  0.0158378207159
P( h ) =  0.0389237735005
P( i ) =  0.0633388610433
P( j ) =  0.000621091008465
P( k ) =  0.00347810964741
P( l ) =  0.037048078655
P( m ) =  0.02201146534
P( n ) =  0.0568670927351
P( o ) =  0.0695994584086
P( p ) =  0.0189060102977
P( q ) =  0.00089437105219
P( r ) =  0.0480165458645
P( s ) =  0.0563515871981
P( t ) =  0.0803319110349
P( u ) =  0.0230673200544
P( v ) =  0.0111361617818
P( w ) =  0.0129249038862
P( x ) =  0.00162104753209
P( y ) =  0.0172166427547
P( z ) =  0.000732887389989
P( _ ) =  0.168837379741
------------End------------



